,Original Title Text,Title Sentence Vector,Original Description Text,Description Sentence Vector,Original Author Text,Author Sentence Vector
0,David McGrath: I give thanks for these fine Americans,0.008337371109519154,Here is a Top 10 list of people (and a radio station) for which I am grateful.,0.014529934618622065,David McGrath,0.04893544694641605
1,No. 2 Michigan blanks No. 16 Iowa 26-0 for the Big Ten title — and the Wolverines are likely to claim the top CFP seed,-0.05783543978759553,"Blake Corum scored twice, tying the school record for touchdown runs with 55, and No. 2 Michigan beat No. 18 Iowa 26-0 on Saturday night in the Big Ten championship game to likely take the top seed in the College Football Playoff.",0.14465062087401748,Chicago Tribune,0.03711291492800228
2,US CDC issues health alert for subtype of mpox virus in Congo,-0.024141685076756403,The U.S. Centers for Disease Control and Prevention (CDC) issued a health alert on Thursday to notify clinicians and health departments about a deadly type of the mpox virus spreading in the Democratic Republic of the Congo (DRC).,0.07070450496394187,Reuters,0.015435267123393714
3,"Man wounded by gunfire from outside his residence overnight on Far South Side, Chicago police said",-0.07452948272111826,"Shortly before 2 a.m., the victim was inside his home in the first block of West 116th Street when he heard multiple shots and felt pain. Gunfire had pierced through the front glass window and struck his elbow, police said.",0.002654580937814899,Deanese Williams-Harris,0.06334683872410096
4,Ex-Apple Lawyer in Charge of Enforcing Compliance With the Company’s Insider Trading Policies Sentenced to Probation for Insider Trading,0.028920135111548007,,0.011816564947366714,John Gruber,0.00043898975127376616
5,Man gets new trial after being convicted of murder based on blind witness’s testimony,-0.024583413993241265,A Cook County judge has overturned the murder conviction of a man who was found guilty primarily based on the testimony of an eyewitness who turned out to be legally blind.,0.08729726366800605,Christy Gutowski,0.07274902984499931
6,Swedish union blocks Tesla components as dispute intensifies,-0.06774305703584105,"The conflict between Swedish unions and Tesla <a href=""https://www.reuters.com/markets/companies/TSLA.O"" target=""_blank"">(TSLA.O)</a> heated up on Friday as a supplier of critical components joined in a sympathy action to get the electric car maker to sign a …",0.0760953572098515,Reuters,0.023175307549536228
7,Patients on Eli Lilly's drug regain weight after stopping treatment - JAMA study,-0.04859654320171103,"Patients on Eli Lilly's <a href=""https://www.reuters.com/markets/companies/LLY.N"" target=""_blank"">(LLY.N)</a> weight-loss drug Zepbound substantially regained weight nearly a year after stopping treatment, according to full results of a study published on Mon…",0.06826079251186457,Reuters,0.05082169349043397
8,Afternoon Briefing: Jurors hear ‘tuna’ recording for first time in Burke trial,-0.01752830354962498,"Good afternoon, Chicago. Here's what is happening today.",0.06143196823541075,Chicago Tribune staff,0.033587082754820585
9,OPEC members push against including fossil fuels phase-out in COP28 deal,-0.05336307734251022,"Countries clashed on Saturday over a possible agreement to phase-out fossil fuels at the <a href=""https://www.reuters.com/sustainability/cop/"">COP28 summit</a> in Dubai, jeopardising attempts to deliver a first-ever commitment to eventually end the use of oil…",0.0675626060256036,Kate Abnett,-0.0044487357954494655
10,Organized program for Small Business Saturday in Libertyville brings increase business for Main Street establishments,0.028932908782735467,"For Main Street retailers in Libertyville, the Saturday after Thanksgiving kicks off what they hope to be a busy holiday season.",0.06521415390307084,Chloe Hilles,0.021641557075781748
11,Photos: Black Friday in Chicagoland,-0.09122256332193501,"Many still choose online shopping because of its convenience. But Black Friday was expected to be busy with many people still eager to go to real-life, brick-and-mortar stores. Crowds of shoppers still headed to Chicago area malls and stores. Many visited Woo…",0.07168669224483892,Pinar Istek,0.08299288409762084
